key,name,IATA,website,type,foundationMoment,email,phoneNumber
airline-32,Turkish Airlines,TKX,https://www.turkishairlines.com/,STANDARD,02/07/2012 00:00:07,acme@lorem-ipsum.org,123456789123456
airline-33,Turkish Airlines,TKX,https://www.turkishairlines.com/,STANDARD,02/07/2012 00:00:07,acme@lorem-ipsum.org,12345678912345
airline-34,Turkish Airlines,TKX,https://www.turkishairlines.com/,STANDARD,02/07/2012 00:00:07,acme@lorem-ipsum.org,9987654321
airline-35,Turkish Airlines,TKX,https://www.turkishairlines.com/,STANDARD,02/07/2012 00:00:07,acme@lorem-ipsum.org,111111111
airline-36,Turkish Airlines,TKX,https://www.turkishairlines.com/,STANDARD,02/07/2012 00:00:07,acme@lorem-ipsum.org,+000000
airline-37,Turkish Airlines,TKX,https://www.turkishairlines.com/,STANDARD,02/07/2012 00:00:07,acme@lorem-ipsum.org,+123456789123456
airline-38,Turkish Airlines,TKX,https://www.turkishairlines.com/,STANDARD,02/07/2012 00:00:07,acme@lorem-ipsum.org,+1234567890
airline-39,Turkish Airlines,TKX,https://www.turkishairlines.com/,STANDARD,02/07/2012 00:00:07,acme@lorem-ipsum.org,+12345678909876
airline-40,Turkish Airlines,TKX,https://www.turkishairlines.com/,STANDARD,02/07/2012 00:00:07,acme@lorem-ipsum.org,+9785326549
airline-41,Turkish Airlines,TKX,https://www.turkishairlines.com/,STANDARD,02/07/2012 00:00:07,acme@lorem-ipsum.org,null
airline-42,Turkish Airlines,TKX,https://www.turkishairlines.com/,STANDARD,02/07/2012 00:00:07,null,913211000
