key,name,iata-code,scope,city,country,website,email,phone
airport-66,Aeropuerto de Sevilla,XDR,INTERNATIONAL,Sevilla,España,https://www.aena.es/es/sevilla.html,a@b.es,913211000
airport-67,Aeropuerto de Sevilla,WDV,INTERNATIONAL,Sevilla,España,https://www.aena.es/es/sevilla.html,a@b.esx,913211000
airport-68,Aeropuerto de Sevilla,PLM,INTERNATIONAL,Sevilla,España,https://www.aena.es/es/sevilla.html,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,913211000
airport-69,Aeropuerto de Sevilla,OJB,INTERNATIONAL,Sevilla,España,https://www.aena.es/es/sevilla.html,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,913211000
# email - no singular values

# phone - standard variations
airport-70,Aeropuerto de Sevilla,XDI,INTERNATIONAL,Sevilla,España,https://www.aena.es/es/sevilla.html,acme@lorem-ipsum.org,123456
airport-71,Aeropuerto de Sevilla,ERO,INTERNATIONAL,Sevilla,España,https://www.aena.es/es/sevilla.html,acme@lorem-ipsum.org,2345678
airport-72,Aeropuerto de Sevilla,XAA,INTERNATIONAL,Sevilla,España,https://www.aena.es/es/sevilla.html,acme@lorem-ipsum.org,123456789123456
airport-73,Aeropuerto de Sevilla,XAB,INTERNATIONAL,Sevilla,España,https://www.aena.es/es/sevilla.html,acme@lorem-ipsum.org,12345678912345
airport-74,Aeropuerto de Sevilla,XAC,INTERNATIONAL,Sevilla,España,https://www.aena.es/es/sevilla.html,acme@lorem-ipsum.org,9987654321
airport-75,Aeropuerto de Sevilla,XAD,INTERNATIONAL,Sevilla,España,https://www.aena.es/es/sevilla.html,acme@lorem-ipsum.org,111111111
airport-76,Aeropuerto de Sevilla,XAE,INTERNATIONAL,Sevilla,España,https://www.aena.es/es/sevilla.html,acme@lorem-ipsum.org,+000000
airport-77,Aeropuerto de Sevilla,XAF,INTERNATIONAL,Sevilla,España,https://www.aena.es/es/sevilla.html,acme@lorem-ipsum.org,+123456789123456
airport-78,Aeropuerto de Sevilla,XAG,INTERNATIONAL,Sevilla,España,https://www.aena.es/es/sevilla.html,acme@lorem-ipsum.org,+1234567890
airport-79,Aeropuerto de Sevilla,XAX,INTERNATIONAL,Sevilla,España,https://www.aena.es/es/sevilla.html,acme@lorem-ipsum.org,+12345678909876
airport-80,Aeropuerto de Sevilla,XAI,INTERNATIONAL,Sevilla,España,https://www.aena.es/es/sevilla.html,acme@lorem-ipsum.org,+9785326549
# phone - no singular values
